category,score_name,metric_name,points,score_description,velocity_query
Longevity,Newbie,longevity_1,1,2+ unique months with a tx,
Longevity,Experienced,longevity_2,2,6+ unique months with a tx,
Longevity,Grizzled Veteran,longevity_3,3,12+ unique months with a tx,
Activity Level,Occasional,activity_1,1,10+ tx in the last 90 days,
Activity Level,Active,activity_2,2,100+ tx in the last 90 days,
Activity Level,Unhinged,activity_3,3,1000+ tx in the last 90 days,
Governor,Gov Degen,governor_1,1,1+ on-chain vote,
Governor,Solana Activist,governor_2,2,10+ on-chain votes,
Governor,Rock the Vote,governor_3,3,100+ on-chain votes,
Bridgor,Bridgor,bridgor_1,1,1+ SOL bridged onto Solana,
Bridgor,Bridgooor,bridgor_2,2,100+ SOL bridged onto Solana,
Bridgor,Bridgooooor,bridgor_3,3,1000+ SOL bridged onto Solana,
Staker,Stakor,staker_1,1,1+ SOL currently staked onto Solana,
Staker,Stakooor,staker_2,2,100+ SOL currently staked onto Solana,
Staker,Stakooooor,staker_3,3,1000+ SOL currently staked onto Solana,
Explorer,Exploror,explorer_1,1,1+ unique programs interacted with,
Explorer,Explorooor,explorer_2,2,10+ unique programs interacted with,
Explorer,Explorooooor,explorer_3,3,25+ unique programs interacted with,
